claude-3.5-sonnet,mixtral-8x7B,llama-3-70b,llama-3-8b,phi-3-mini
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,0,0,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,0,1,1,0
1,1,1,1,0
0,0,0,0,0
1,1,1,1,0
0,0,0,0,0
1,1,1,1,1
1,0,0,1,1
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,0
1,1,0,1,1
1,1,1,1,0
1,0,0,1,0
1,1,1,0,1
0,0,1,1,1
0,0,0,0,0
0,0,0,0,1
1,1,1,1,1
1,1,1,0,1
0,0,0,0,0
0,0,0,0,0
1,0,1,1,0
0,0,0,0,0
1,0,1,1,0
0,0,0,0,0
1,0,1,0,1
0,0,0,0,0
0,0,0,0,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0,0,0,1,1
1,1,1,0,0
1,0,1,0,0
1,1,1,1,0
1,1,1,1,1
0,1,0,1,1
1,1,1,1,1
1,1,1,0,0
1,0,1,1,1
1,0,1,1,1
1,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,1
1,1,1,1,0
0,1,1,0,1
0,1,1,1,1
1,1,1,1,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,0,0,1,0
1,0,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,1
0,0,0,0,0
1,0,1,1,1
0,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
1,1,1,1,1
0,1,0,1,1
0,0,0,0,0
1,0,1,1,1
0,1,1,0,1
1,1,1,1,1
1,1,1,1,1
0,1,1,1,1
0,0,0,1,1
0,0,0,1,0
1,1,1,1,1
0,0,0,1,1
1,1,0,1,0
0,0,0,0,0
1,1,1,1,1
0,1,1,1,1
1,1,1,1,1
1,1,1,1,0
1,1,1,1,1
0,0,0,0,0
1,1,1,0,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,0,0,1,0
1,1,1,1,1
0,0,0,1,0
1,1,1,1,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,0
1,1,1,0,0
1,0,0,0,0
0,0,1,0,1
1,1,0,1,1
1,0,0,1,1
1,1,0,0,1
0,0,0,1,1
1,0,0,0,0
0,0,0,0,0
1,0,0,0,0
1,1,1,1,1
1,0,0,0,0
1,0,0,0,0
1,1,1,1,0
1,1,1,1,0
1,0,1,0,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,0,1,1,1
0,1,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,1
0,1,0,0,1
0,0,0,0,0
1,1,1,0,1
1,0,1,1,0
0,0,1,0,0
1,1,1,1,0
0,0,0,0,0
0,1,1,1,0
1,1,1,1,1
1,1,1,0,0
1,1,1,0,1
0,0,0,0,0
0,1,0,0,0
1,1,1,1,1
0,0,1,0,0
1,1,1,1,1
0,1,1,1,1
0,1,0,1,0
0,1,0,0,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,0,1,1,0
0,1,0,0,0
1,1,1,0,0
0,0,1,0,0
0,0,0,0,0
0,1,0,0,0
1,0,1,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,0,1
0,1,1,0,0
1,1,1,1,1
0,1,1,1,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,0,1,1
0,1,0,1,1
0,0,0,0,0
1,0,1,1,1
1,1,1,0,0
0,0,0,0,0
1,1,1,1,1
1,1,0,0,1
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,1,0,1,1
1,0,1,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,1,1,0,0
1,1,1,1,1
1,1,1,1,0
1,0,1,0,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0,1
0,1,1,1,0
0,1,1,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,0,0
1,1,1,1,1
0,1,0,0,0
0,0,0,0,0
0,0,0,0,1
1,1,1,1,1
1,1,1,1,1
1,1,1,0,0
0,1,0,0,0
0,1,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,0,1,0
0,1,0,0,0
1,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,1,0,0
0,1,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
1,1,1,1,1
1,1,0,1,0
1,1,1,0,0
1,1,0,0,1
0,0,0,0,0
1,1,1,1,1
0,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,1,1,0,0
1,1,1,1,0
1,1,1,1,1
1,1,1,1,0
1,1,1,1,0
1,1,1,1,1
1,0,0,0,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,0,1,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,0,0,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,1,1,0,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,0,0,0,0
1,1,1,1,1
0,1,1,1,1
0,0,1,1,1
0,0,0,0,0
0,1,0,0,1
1,1,1,1,1
1,1,1,1,1
1,1,1,0,1
1,1,1,1,1
1,0,0,0,0
1,1,1,1,0
1,1,1,1,0
1,1,1,1,0
1,0,1,0,0
1,1,1,1,1
1,1,1,0,1
0,1,1,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0
1,1,0,1,1
1,1,1,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,0,0
1,1,0,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0
0,1,1,1,0
1,0,1,1,0
1,1,1,1,1
0,0,0,0,0
1,0,1,1,1
1,1,1,1,1
1,0,0,0,0
1,1,1,1,1
1,1,1,1,0
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
